time;minAirPressure;averageAirPressure;maxAirPressure;rainIntensity
"2021-01-06 02:00:00+01:00";984.8;984.90166666667;985;0
"2021-01-06 03:00:00+01:00";984.8;984.84;984.9;0
"2021-01-06 04:00:00+01:00";984.6;984.77333333333;984.9;0
"2021-01-06 05:00:00+01:00";984.5;984.58666666667;984.7;0
"2021-01-06 06:00:00+01:00";984.5;984.62166666667;984.8;0
"2021-01-06 07:00:00+01:00";984.5;984.71;984.8;0
"2021-01-06 08:00:00+01:00";984.7;984.78166666667;984.9;0
"2021-01-06 09:00:00+01:00";984.5;984.69333333333;985;0
"2021-01-06 10:00:00+01:00";984.1;984.38333333333;984.7;0
"2021-01-06 11:00:00+01:00";983;983.51333333333;984.2;0
"2021-01-06 12:00:00+01:00";982.2;982.59333333333;983;0
"2021-01-06 13:00:00+01:00";981.8;981.96333333333;982.3;0
"2021-01-06 14:00:00+01:00";981.7;981.83166666667;981.9;0.27
"2021-01-06 15:00:00+01:00";981.8;981.98;982.1;0.215
"2021-01-06 16:00:00+01:00";981.7;981.88833333333;982.1;0.36666666666667
"2021-01-06 17:00:00+01:00";981.6;981.79833333333;981.9;0
"2021-01-06 18:00:00+01:00";982;982.085;982.2;0
"2021-01-06 19:00:00+01:00";982.1;982.26;982.4;0
"2021-01-06 20:00:00+01:00";982.3;982.55833333333;982.7;0
"2021-01-06 21:00:00+01:00";982.3;982.395;982.7;0
"2021-01-06 22:00:00+01:00";982;982.18333333333;982.3;0
"2021-01-06 23:00:00+01:00";982.1;982.23333333333;982.3;0
"2021-01-07 00:00:00+01:00";981.8;982.04333333333;982.3;0
"2021-01-07 01:00:00+01:00";981.7;981.95333333333;982.1;0
"2021-01-07 02:00:00+01:00";981.9;982.01333333333;982.1;0
"2021-01-07 03:00:00+01:00";981.7;981.85833333333;982;0.051666666666667
"2021-01-07 04:00:00+01:00";981.8;981.87666666667;982;0
"2021-01-07 05:00:00+01:00";981.9;981.94;982;0
"2021-01-07 06:00:00+01:00";981.9;981.95333333333;982;0
"2021-01-07 07:00:00+01:00";982;982.22;982.5;0
"2021-01-07 08:00:00+01:00";982.6;982.87833333333;983.3;0
