;Data;Nowe przypadki;Wszystkie przypadki kumulatywnie;Zgony;Wszystkie zgony kumulatywnie;Ozdrowieñcy (dzienna);Ozdrowieñcy (suma);Aktywne przypadki;Kwarantanna;Nadzór
niedziela;24.05.2020;395;21326;3;995;82;9276;11055;78259;19 587
poniedzia³ek;25.05.2020;305;21631;11;1006;744;10020;10605;78864;19 139
wtorek;26.05.2020;443;22074;17;1023;310;10330;10721;79007;19 682
œroda;27.05.2020;399;22473;4;1027;230;10560;10886;79818;19 373
czwartek;28.05.2020;352;22825;10;1037;132;10692;11096;79995;18 224
pi¹tek;29.05.2020;330;23155;13;1050;324;11016;11089;80182;19 161
sobota;30.05.2020;416;23571;10;1060;255;11271;11240;78823;18 947
niedziela;31.05.2020;215;23786;3;1063;178;11449;11274;77406;18 859
poniedzia³ek;01.06.2020;379;24165;10;1073;277;11726;11366;78470;18 692
wtorek;02.06.2020;230;24395;18;1091;288;12014;11290;78691;18 642
œroda;03.06.2020;292;24687;23;1114;213;12227;11346;79341;18 721
czwartek;04.06.2020;361;25048;2;1116;183;12410;11522;81244;19 274
pi¹tek;05.06.2020;362;25410;20;1136;231;12641;11633;81820;19 994
sobota;06.06.2020;576;25986;14;1150;214;12855;11981;82759;20 079
niedziela;07.06.2020;575;26561;4;1154;143;12998;12409;82921;19 703
poniedzia³ek;08.06.2020;599;27160;9;1163;198;13196;12801;84913;19 496
wtorek;09.06.2020;400;27560;19;1182;215;13411;12967;86002;19 336
œroda;10.06.2020;282;27842;23;1205;285;13696;12941;88074;18 234
czwartek;11.06.2020;359;28201;9;1214;109;13805;13182;89609;19 072
pi¹tek;12.06.2020;376;28577;7;1221;299;14104;13252;92654;18 904
sobota;13.06.2020;440;29017;15;1236;122;14226;13555;93094;18 666
niedziela;14.06.2020;375;29392;10;1246;157;14383;13763;94518;17 966
poniedzia³ek;15.06.2020;396;29788;9;1255;271;14654;13879;95641;17 261
wtorek;16.06.2020;407;30195;16;1271;267;14921;14003;96255;17 195
œroda;17.06.2020;506;30701;14;1285;396;15317;14099;93722;17 354
czwartek;18.06.2020;314;31015;30;1315;381;15698;14002;97215;18 866
pi¹tek;19.06.2020;301;31316;18;1333;483;16181;13802;96181;18 611
sobota;20.06.2020;304;31620;12;1345;502;16683;13592;94585;18 619
niedziela;21.06.2020;311;31931;10;1355;393;17076;13500;93830;18 572
poniedzia³ek;22.06.2020;296;32227;3;1358;497;17573;13296;93890;18 025
wtorek;23.06.2020;300;32527;16;1374;561;18134;13019;92992;16 574
œroda;24.06.2020;294;32821;21;1395;520;18654;12772;92409;17 139
czwartek;25.06.2020;298;33119;16;1411;564;19218;12490;91461;16 728
pi¹tek;26.06.2020;276;33395;17;1428;754;19972;11995;89294;16 568
sobota;27.06.2020;319;33714;6;1434;576;20548;11732;85603;15 211
niedziela;28.06.2020;193;33907;4;1438;349;20897;11572;83460;14 469
poniedzia³ek;29.06.2020;247;34154;6;1444;384;21281;11429;83499;13 987
wtorek;30.06.2020;239;34393;19;1463;510;21791;11139;83033;13 919
œroda;01.07.2020;382;34775;14;1477;418;22209;11089;83521;13 941
czwartek;02.07.2020;371;35146;15;1492;442;22651;11003;84790;13 478
pi¹tek;03.07.2020;259;35405;14;1506;476;23127;10772;84560;13 280
sobota;04.07.2020;314;35719;5;1511;619;23746;10462;83813;12 508
niedziela;05.07.2020;231;35950;5;1516;220;23966;10468;83767;12 118
poniedzia³ek;06.07.2020;205;36155;4;1520;272;24238;10397;85327;11 780
wtorek;07.07.2020;257;36412;7;1527;640;24878;10007;84363;11 547
œroda;08.07.2020;277;36689;15;1542;599;25477;9670;85955;10 889
czwartek;09.07.2020;262;36951;9;1551;571;26048;9352;86712;10 565
pi¹tek;10.07.2020;265;37216;11;1562;587;26635;9019;86915;10 045
sobota;11.07.2020;305;37521;6;1568;513;27148;8805;86168;9 789
niedziela;12.07.2020;370;37891;3;1571;367;27515;8805;85610;9 138
poniedzia³ek;13.07.2020;299;38190;5;1576;241;27756;8858;86747;9 473
wtorek;14.07.2020;267;38457;12;1588;736;28492;8377;87698;9 684
œroda;15.07.2020;264;38721;6;1594;436;28928;8199;90496;9 778
czwartek;16.07.2020;333;39054;10;1604;577;29505;7945;86073;9 627
pi¹tek;17.07.2020;353;39407;7;1611;419;29924;7872;92008;9 715
sobota;18.07.2020;339;39746;6;1617;368;30292;7837;89956;9 665
niedziela;19.07.2020;358;40104;6;1623;247;30539;7942;89822;9 557
poniedzia³ek;20.07.2020;279;40383;4;1627;232;30771;7985;90767;9 356
wtorek;21.07.2020;399;40782;9;1636;368;31139;8007;90961;9 846
œroda;22.07.2020;380;41162;6;1642;402;31541;7979;92577;8 907
czwartek;23.07.2020;418;41580;9;1651;456;31997;7932;93815;7 472
pi¹tek;24.07.2020;458;42038;4;1655;422;32419;7964;94164;7 411
sobota;25.07.2020;584;42622;9;1664;334;32753;8205;93311;7 418
niedziela;26.07.2020;443;43065;7;1671;103;32856;8538;92803;7 394
poniedzia³ek;27.07.2020;337;43402;5;1676;187;33043;8683;94920;7 245
wtorek;28.07.2020;502;43904;6;1682;147;33190;9032;95453;6 222
œroda;29.07.2020;512;44416;12;1694;453;33643;9079;97561;8 094
czwartek;30.07.2020;615;45031;15;1709;344;33987;9335;97189;8 069
pi¹tek;31.07.2020;657;45688;7;1716;387;34374;9598;98282;8 241
sobota;01.08.2020;658;46346;5;1721;335;34709;9916;96425;8 523
niedziela;02.08.2020;548;46894;10;1731;172;34881;10282;95794;8 272
poniedzia³ek;03.08.2020;575;47469;1;1732;175;35056;10681;98875;8 499
wtorek;04.08.2020;680;48149;6;1738;265;35321;11090;100151;9 044
œroda;05.08.2020;640;48789;18;1756;321;35642;11391;102815;9 052
czwartek;06.08.2020;726;49515;18;1774;399;36041;11700;104923;9 237
pi¹tek;07.08.2020;809;50324;13;1787;362;36403;12134;107229;9 256
sobota;08.08.2020;843;51167;13;1800;288;36691;12676;105795;9 227
niedziela;09.08.2020;624;51791;7;1807;186;36877;13107;104167;9 566
poniedzia³ek;10.08.2020;619;52410;2;1809;273;37150;13451;105427;9 230
wtorek;11.08.2020;551;52961;12;1821;461;37611;13529;106915;9 490
œroda;12.08.2020;715;53676;9;1830;350;37961;13885;108677;9 413
czwartek;13.08.2020;811;54487;13;1843;401;38362;14282;108309;9 660
pi¹tek;14.08.2020;832;55319;15;1858;491;38853;14608;107395;9 606
sobota;15.08.2020;771;56090;11;1869;277;39130;15091;103805;9 477
niedziela;16.08.2020;594;56684;8;1877;229;39359;15448;102970;9 305
poniedzia³ek;17.08.2020;595;57279;8;1885;284;39643;15751;103236;8 920
wtorek;18.08.2020;597;57876;11;1896;456;40099;15881;103621;8 813
œroda;19.08.2020;735;58611;17;1913;382;40481;16217;103961;9 034
czwartek;20.08.2020;767;59378;12;1925;548;41029;16424;103351;8 902
pi¹tek;21.08.2020;903;60281;13;1938;632;41661;16682;103876;8 899
sobota;22.08.2020;900;61181;13;1951;522;42183;17047;100066;7 892
niedziela;23.08.2020;581;61762;4;1955;265;42448;17359;98233;8 894
poniedzia³ek;24.08.2020;548;62310;5;1960;336;42784;17566;100023;8 544
wtorek;25.08.2020;763;63073;17;1977;615;43399;17697;99705;8 947
œroda;26.08.2020;729;63802;17;1994;698;44097;17711;101678;8 984
czwartek;27.08.2020;887;64689;15;2009;688;44785;17895;101547;8 893
pi¹tek;28.08.2020;791;65480;9;2018;751;45536;17926;100845;8 817
sobota;29.08.2020;759;66239;14;2032;656;46192;18015;98576;8 555
niedziela;30.08.2020;631;66870;1;2033;446;46638;18199;96351;8 397
poniedzia³ek;31.08.2020;502;67372;6;2039;392;47030;18303;96888;7 929
wtorek;01.09.2020;550;67922;19;2058;835;47865;17999;96664;8 145
œroda;02.09.2020;595;68517;20;2078;728;48593;17846;98341;8 070
czwartek;03.09.2020;612;69129;14;2092;1227;49820;17217;71311;7 610
pi¹tek;04.09.2020;691;69820;8;2100;2526;52346;15374;71452;7 090
sobota;05.09.2020;567;70387;13;2113;1910;54256;14018;70788;7 112
niedziela;06.09.2020;437;70824;7;2120;857;55113;13591;72285;7 097
poniedzia³ek;07.09.2020;302;71126;3;2123;797;55910;13093;76047;7 010
wtorek;08.09.2020;400;71526;12;2135;1225;57135;12256;79124;7 160
œroda;09.09.2020;421;71947;11;2146;934;58069;11732;83170;7 408
czwartek;10.09.2020;506;72453;12;2158;779;58848;11447;86892;7 090
pi¹tek;11.09.2020;594;73047;10;2168;877;59725;11154;90216;7 343
sobota;12.09.2020;603;73650;13;2181;934;60659;10810;91819;7 229
niedziela;13.09.2020;502;74152;6;2187;438;61097;10868;92057;6 972
poniedzia³ek;14.09.2020;377;74529;15;2202;451;61548;10779;95241;6 934
wtorek;15.09.2020;605;75134;24;2226;562;62110;10798;94273;8 062
œroda;16.09.2020;600;75734;10;2236;615;62725;10773;103425;9 331
czwartek;17.09.2020;837;76571;16;2252;587;63312;11007;111530;10 102
pi¹tek;18.09.2020;757;77328;17;2269;549;63861;11198;118864;11494
sobota;19.09.2020;1002;78330;12;2281;441;64302;11747;118212;11751
niedziela;20.09.2020;910;79240;11;2292;302;64604;12344;116871;11956
poniedzia³ek;21.09.2020;748;79988;5;2297;368;64972;12719;115789;11849
wtorek;22.09.2020;711;80699;18;2315;589;65561;12823;114000;9962
œroda;23.09.2020;974;81673;28;2343;597;66158;13172;125220;11089
czwartek;24.09.2020;1136;82809;25;2368;582;66740;13701;137023;12937
pi¹tek;25.09.2020;1587;84396;23;2391;586;67326;14679;143442;13894
sobota;26.09.2020;1584;85980;32;2423;578;67904;15653;139460;16368
niedziela;27.09.2020;1350;87330;8;2431;516;68420;16479;136128;16647
poniedzia³ek;28.09.2020;1306;88636;15;2446;535;68955;17235;134588;14660
wtorek;29.09.2020;1326;89962;36;2482;740;69695;17785;129961;15619
œroda;30.09.2020;1552;91514;30;2512;706;70401;18601;133981;16891
czwartek;01.10.2020;1967;93481;30;2542;952;71353;19586;139056;20876
pi¹tek;02.10.2020;2292;95773;27;2569;856;72209;20995;158038;21464
sobota;03.10.2020;2367;98140;34;2603;794;73003;22534;150565;22003
niedziela;04.10.2020;1934;100074;26;2629;549;73552;23893;154365;21375
poniedzia³ek;05.10.2020;2006;102080;29;2658;606;74158;25264;159530;19933
wtorek;06.10.2020;2236;104316;58;2716;1188;75346;26254;145873;21289
œroda;07.10.2020;3003;107319;75;2791;1144;76490;28038;171251;22747
czwartek;08.10.2020;4280;111599;76;2867;1385;77875;30857;188629;26716
pi¹tek;09.10.2020;4739;116338;52;2919;1107;78982;34437;206048;31863
sobota;10.10.2020;5300;121638;53;2972;1320;80302;38364;231032;32394
niedziela;11.10.2020;4178;125816;32;3004;899;81201;41611;250132;35094
poniedzia³ek;12.10.2020;4394;130210;35;3039;803;82004;45167;212446;33533
wtorek;13.10.2020;5068;135278;63;3102;1843;83847;48329;249349;33071
œroda;14.10.2020;6526;141804;116;3218;1741;85588;52998;296020;36066
czwartek;15.10.2020;8099;149903;91;3309;2185;87773;58821;311625;41498
pi¹tek;16.10.2020;7705;157608;132;3441;4574;90162;64005;327507;45605
sobota;17.10.2020;9622;167230;84;3525;2489;92651;71054;320482;45909
niedziela;18.10.2020;8536;175766;49;3574;1363;94014;78178;304567;46864
poniedzia³ek;19.10.2020;7482;183248;41;3615;1942;95956;83677;289447;44675
wtorek;20.10.2020;9291;192539;107;3722;2928;98884;89933;335060;42688
œroda;21.10.2020;10040;202579;130;3851;3320;102204;96524;378348;47314
czwartek;22.10.2020;12107;214686;168;4019;2888;105092;105575;398851;52753
pi¹tek;23.10.2020;13632;228318;153;4172;4252;109344;114802;478761;57802
sobota;24.10.2020;13628;241946;179;4315;3275;112619;125012;446154;49174
niedziela;25.10.2020;11742;253688;87;4438;2683;115302;133948;445991;54268
poniedzia³ek;26.10.2020;10241;263929;45;4483;3935;119237;140209;442109;54440
wtorek;27.10.2020;16300;280229;132;4615;4267;123504;152110;479288;47242
œroda;28.10.2020;18820;299049;236;4849;5763;129267;164933;489079;48977
czwartek;29.10.2020;20156;319205;301;5149;5457;134724;179332;496213;49503
pi¹tek;30.10.2020;21629;340834;202;5351;5556;140280;195203;504706;48928
sobota;31.10.2020;21897;362731;280;5631;6315;146595;210505;439159;48301
niedziela;01.11.2020;17171;379902;152;5783;7818;154413;219706;435343;46844
poniedzia³ek;02.11.2020;15578;395480;92;5875;5573;159986;229619;421582;46697
wtorek;03.11.2020;19364;414844;227;6102;8974;168960;239782;408121;43549
œroda;04.11.2020;24692;439536;373;6475;8721;177681;255380;430732;42689
czwartek;05.11.2020;27143;466679;367;6842;10994;188675;271162;433524;42562
pi¹tek;06.11.2020;27086;493765;445;7287;11835;200510;285968;441832;52655
sobota;07.11.2020;27875;521640;349;7636;8853;209363;304641;407579;42921
niedziela;08.11.2020;24785;546425;236;7872;10008;219371;319182;376567;41403
poniedzia³ek;09.11.2020;21713;568138;173;8045;11290;230661;329432;407486;37655
wtorek;10.11.2020;25484;593592;330;8375;12214;242875;342342;431104;36263
œroda;11.11.2020;25221;618813;430;8805;11474;254349;355659;404352;27706
czwartek;12.11.2020;22683;641496;275;9080;13231;267580;364836;430310;30420
pi¹tek;13.11.2020;24051;665547;419;9499;14635;282215;373833;440025;30625
sobota;14.11.2020;25571;691118;548;10045;12568;294783;386290;409322;29920
niedziela;15.11.2020;21854;712972;303;10348;11239;306022;396602;422767;28528
poniedzia³ek;16.11.2020;20816;733788;143;10491;18260;324282;399015;415174;25618
wtorek;17.11.2020;19152;752940;357;10848;18601;342883;399209;415601;25663
œroda;18.11.2020;19 883;772823;603;11451;19003;361886;399486;434034;24717
czwartek;19.11.2020;23975;796798;637;12088;19914;381 800;402910;408567;23153
pi¹tek;20.11.2020;22464;819262;626;12714;25275;407075;399473;391837;22982
sobota;21.11.2020;24213;843475;574;13 288;16896;423971;406216;356130;22156
niedziela;22.11.2020;17856;861331;330;13 618;14897;438868;408845;362959;21290
poniedzia³ek;23.11.2020;15002;876333;156;13 774;15849;454717;407842;334331;19671
